OriginalName,NewName
LAS VAGAS,LAS VEGAS
PARADISE,PARADISE
BLUE DIAMOND,BLUE DIAMOND
HENDERSON,HENDERSON
"LAS VEGAS, NV",LAS VEGAS
"BOULDER CITY, NV",BOULDER CITY
LAS VEGAS,LAS VEGAS
WHITNEY,WHITNEY
LAS VEGAS NV,LAS VEGAS
LAS VEGGAS,LAS VEGAS
HENDERSON,HENDERSON
NORTH LAS VEGAS,NORTH LAS VEGAS
LAS VEGAS,LAS VEGAS
ENTERPRISE,ENTERPRISE
BOULDER CITY,BOULDER CITY
LAS VEGAS;LAS VEGAS,LAS VEGAS
NELLIS AIR FORCE BASE,NELLIS AIR FORCE BASE
BOULDER CITY NV,BOULDER CITY
NELLIS AFB,NELLIS AIR FORCE BASE
LAS VEGAS,LAS VEGAS
SUNRISE MANOR,SUNRISE MANOR
SPRING VALLEY,SPRING VALLEY
